Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps),Temperature (C)
1682113284.1313806,37.876089,-122.259553,5.0,0,0
1682113289.5093172,37.876088,-122.259569,5.0,0,0
1682113295.002669,37.876096,-122.259566,4.0,0,0
1682113300.3671322,37.876103,-122.25956,4.0,0,0
1682113305.8086672,37.876106,-122.259558,5.0,0,0
1682113311.2328455,37.876101,-122.259558,4.5,0,0
1682113316.6387184,37.876118,-122.259548,4.0,0,0
1682113322.1621027,37.876139,-122.259538,4.5,0,0
1682113327.632037,37.876151,-122.259546,4.0,0,0
1682113333.0826035,37.876138,-122.259611,3.5,0,0
1682113338.5601764,37.876111,-122.259623,4.0,0,0
1682113344.0722325,37.876053,-122.259625,4.0,0,0
1682113349.5800405,37.875953,-122.259531,3.5,0,0
1682113355.12267,37.875911,-122.259451,4.0,0,0
1682113360.6127672,37.875893,-122.259263,4.0,0,0
1682113366.1294208,37.875845,-122.259195,4.0,0,0
1682113371.730715,37.875791,-122.259151,3.5,0,0
1682113377.261204,37.875726,-122.259158,3.0,0,0
1682113382.826732,37.875655,-122.259193,3.0,0,0
1682113388.458208,37.875566,-122.259233,5.0,0,0
1682113394.0926502,37.875426,-122.259348,5.0,0,0
1682113399.730067,37.875318,-122.25927,4.0,0,0
1682113405.33184,37.875304,-122.259273,4.0,0,0
1682113410.956544,37.875311,-122.259268,4.5,0,0
1682113416.6158295,37.87532,-122.259268,5.0,0,0
1682113422.2447174,37.875313,-122.259248,4.5,0,0
1682113427.8693054,37.875311,-122.259245,4.0,0,0
1682113433.5424707,37.875321,-122.2592,5.0,0,0
1682113439.253118,37.87535,-122.259098,5.0,0,0
1682113444.9633996,37.875356,-122.258991,5.0,0,0
1682113450.6209822,37.875328,-122.258941,5.0,0,0
1682113456.3280058,37.875321,-122.258915,5.0,0,0
1682113462.1621928,37.875304,-122.258909,4.0,0,0
1682113467.8827903,37.875296,-122.258911,5.0,0,0
1682113473.607289,37.875286,-122.258911,5.0,0,0
1682113479.3687162,37.87528,-122.258878,5.0,0,0
1682113485.1641264,37.87529,-122.258736,4.5,0,0
1682113490.9356647,37.875293,-122.25867,4.0,0,0
1682113496.6624055,37.87529,-122.258616,4.0,0,0
1682113502.4613087,37.87531,-122.258561,4.0,0,0
1682113508.223226,37.875338,-122.258493,4.5,0,0
1682113514.0478754,37.87532,-122.258431,5.0,0,0
1682113519.8836148,37.875313,-122.258415,4.5,0,0
1682113525.9082427,37.875285,-122.258384,4.0,0,0
1682113531.7683678,37.87525,-122.258361,3.5,0,0
1682113537.6149166,37.875226,-122.258365,3.0,0,0
1682113543.4576986,37.875231,-122.25837,4.0,0,0
1682113549.3078413,37.875243,-122.258348,4.0,0,0
1682113555.2254133,37.875271,-122.258351,4.0,0,0
1682113561.1203773,37.875376,-122.258251,4.0,0,0
1682113567.0434601,37.875375,-122.258168,3.0,0,0
1682113572.980643,37.875358,-122.258081,4.0,0,0
1682113578.8931255,37.875313,-122.258041,4.0,0,0
1682113584.8448176,37.875251,-122.258031,4.0,0,0
1682113590.7717376,37.875156,-122.257975,5.0,0,0
1682113596.7181945,37.875101,-122.257975,5.0,0,0
1682113602.6991765,37.87499,-122.25801,5.0,0,0
1682113608.6515896,37.874925,-122.258025,5.0,0,0
1682113614.6000805,37.8749,-122.257994,5.0,0,0
1682113620.6184158,37.874858,-122.257944,5.5,0,0
1682113626.7247262,37.874753,-122.257834,6.0,0,0
1682113632.7425272,37.874721,-122.257774,6.0,0,0
1682113638.828464,37.87465,-122.257776,6.0,0,0
1682113644.9919872,37.874616,-122.257791,5.0,0,0
1682113651.0815716,37.874511,-122.257755,5.0,0,0
1682113657.1545415,37.874409,-122.257728,5.0,0,0
1682113663.2442617,37.874326,-122.257796,5.5,0,0
1682113669.3539636,37.874323,-122.257856,5.5,0,0
1682113675.4516234,37.874301,-122.257944,4.0,0,0
1682113681.5671787,37.874213,-122.258158,4.0,0,0
1682113687.763253,37.87418,-122.258268,5.0,0,0
1682113693.9172254,37.874163,-122.258345,5.0,0,0
1682113700.1112323,37.874145,-122.258391,4.0,0,0
1682113706.25054,37.874123,-122.25846,4.0,0,0
1682113712.4252424,37.874126,-122.25847,4.5,0,0
1682113718.564964,37.874126,-122.25847,5.0,0,0
1682113724.7683828,37.874121,-122.258491,5.0,0,0
1682113731.097285,37.874136,-122.258511,5.0,0,0
1682113737.5878623,37.874135,-122.258506,4.0,0,0
1682113743.8185265,37.874128,-122.258508,6.0,0,0
1682113750.013547,37.874118,-122.258551,6.0,0,0
1682113756.2716253,37.874118,-122.258593,6.0,0,0
1682113762.4692302,37.874093,-122.258578,6.0,0,0
1682113768.7543755,37.874074,-122.258546,5.5,0,0
1682113774.9526157,37.87407,-122.258495,4.0,0,0
1682113781.2616198,37.874106,-122.258448,5.0,0,0
1682113787.5669463,37.87414,-122.258406,5.0,0,0
1682113793.8581755,37.874123,-122.258401,5.0,0,0
1682113800.1440067,37.87411,-122.258403,5.0,0,0
1682113806.7255745,37.874146,-122.258441,4.0,0,0
1682113813.2541559,37.874159,-122.258456,4.0,0,0
1682113819.605563,37.874181,-122.258463,4.0,0,0
1682113826.019332,37.874181,-122.258496,5.0,0,0
1682113832.38933,37.87417,-122.258526,5.0,0,0
1682113838.7143798,37.874156,-122.258525,5.0,0,0
1682113845.044204,37.874163,-122.258525,5.0,0,0
1682113851.451139,37.874161,-122.258525,5.0,0,0
1682113857.913692,37.874165,-122.258526,5.0,0,0
1682113864.3522322,37.874133,-122.258503,4.5,0,0
1682113870.77135,37.874078,-122.258473,5.0,0,0
1682113877.470626,37.873988,-122.258419,4.5,0,0
1682113883.938959,37.873995,-122.258405,4.0,0,0
1682113890.35291,37.873998,-122.258398,4.0,0,0
1682113896.840841,37.873995,-122.258398,4.0,0,0
1682113903.3085225,37.873993,-122.258396,4.5,0,0
1682113909.7936733,37.873995,-122.258396,5.0,0,0
1682113916.2754166,37.873996,-122.258391,5.0,0,0
1682113922.7581387,37.874,-122.258391,5.0,0,0
1682113929.3258085,37.873998,-122.25839,5.0,0,0
1682113936.035733,37.873996,-122.258388,6.0,0,0
1682113942.5970416,37.873996,-122.258388,6.0,0,0
1682113949.1898658,37.874,-122.258386,6.0,0,0
1682113955.6925864,37.874003,-122.258384,6.0,0,0
1682113962.350312,37.874003,-122.258384,5.0,0,0
1682113968.935898,37.874008,-122.258381,5.0,0,0
1682113975.5245657,37.874011,-122.258381,5.0,0,0
1682113982.1030247,37.874015,-122.258381,5.0,0,0
1682113988.7330334,37.87402,-122.25838,4.0,0,0
1682113995.6864526,37.874015,-122.25838,3.5,0,0
1682114002.3762925,37.874011,-122.258378,3.0,0,0
1682114008.976588,37.87401,-122.258376,4.0,0,0
1682114015.6505234,37.874003,-122.258376,4.0,0,0
1682114022.31841,37.874001,-122.25838,4.0,0,0
1682114029.0507355,37.873989,-122.25838,4.0,0,0
1682114035.7471452,37.873998,-122.258378,4.0,0,0
1682114042.3976793,37.874011,-122.258363,4.0,0,0
1682114049.1683004,37.874038,-122.258365,5.0,0,0
1682114056.3466392,37.874041,-122.258371,5.0,0,0
1682114063.0921516,37.874048,-122.258323,5.0,0,0
1682114069.8226752,37.874086,-122.25828,4.0,0,0
1682114076.5580478,37.874126,-122.258276,5.0,0,0
1682114083.3185952,37.874185,-122.258215,5.0,0,0
1682114090.1791081,37.874208,-122.258156,4.0,0,0
1682114096.9365478,37.874241,-122.258076,5.0,0,0
1682114103.6810975,37.874245,-122.258076,4.5,0,0
1682114110.6855075,37.874246,-122.258076,4.0,0,0
1682114117.5115602,37.874245,-122.258076,4.0,0,0
1682114124.3186479,37.874245,-122.258076,4.0,0,0
1682114131.178235,37.874245,-122.258076,4.0,0,0
1682114138.0598638,37.874259,-122.2581,5.0,0,0
1682114144.833772,37.874271,-122.25815,5.0,0,0
1682114151.7759924,37.874228,-122.258175,5.0,0,0
1682114158.8532262,37.874178,-122.258248,5.0,0,0
1682114165.7523046,37.87417,-122.258291,5.0,0,0
1682114172.6728032,37.874115,-122.258281,4.5,0,0
1682114179.5725224,37.87403,-122.258338,4.5,0,0
1682114186.4599159,37.874013,-122.258413,5.0,0,0
1682114193.468066,37.873998,-122.258391,4.0,0,0
1682114200.5117316,37.873998,-122.258391,5.0,0,0
1682114207.6811867,37.873995,-122.258393,4.5,0,0
1682114214.6515338,37.873998,-122.258386,4.0,0,0
1682114221.6968613,37.873993,-122.258381,4.5,0,0
1682114228.7966123,37.873983,-122.258376,4.5,0,0
1682114235.770298,37.873988,-122.25838,5.0,0,0
1682114242.8206785,37.873989,-122.258386,5.0,0,0
1682114249.8653111,37.873993,-122.258371,5.0,0,0
1682114257.1166265,37.873995,-122.258383,5.0,0,0
1682114264.114707,37.873993,-122.258376,5.0,0,0
1682114271.1837876,37.873996,-122.258386,5.5,0,0
1682114278.302725,37.874001,-122.258384,5.0,0,0
1682114285.404759,37.874086,-122.258461,5.0,0,0
1682114292.4297736,37.874146,-122.258513,4.0,0,0
1682114299.5320265,37.874238,-122.258565,4.0,0,0
1682114307.0019572,37.874268,-122.258638,4.0,0,0
1682114314.1406164,37.874385,-122.258736,4.0,0,0
1682114321.2020104,37.874445,-122.258783,4.0,0,0
1682114328.357607,37.874516,-122.258786,2.5,0,0
1682114335.4966497,37.874618,-122.258848,3.5,0,0
1682114342.6322968,37.874671,-122.258863,4.0,0,0
1682114350.1036646,37.874773,-122.258958,3.0,0,0
1682114357.2672584,37.874823,-122.258931,3.0,0,0
1682114364.473011,37.874888,-122.258851,3.0,0,0
1682114371.6760821,37.874921,-122.258761,5.0,0,0
1682114378.820433,37.874925,-122.258693,4.5,0,0
1682114386.0755746,37.874921,-122.258596,4.5,0,0
1682114393.455419,37.874988,-122.258586,4.5,0,0
1682114400.7059734,37.875113,-122.258663,5.0,0,0
1682114407.9046867,37.875146,-122.258703,5.0,0,0
1682114415.2131896,37.875255,-122.258753,6.0,0,0
1682114422.5454102,37.87526,-122.258753,5.0,0,0
1682114430.00767,37.875261,-122.258765,5.0,0,0
1682114437.5119984,37.875301,-122.258801,4.0,0,0
1682114444.8154125,37.875393,-122.258938,4.0,0,0
1682114452.1459582,37.875406,-122.258961,4.0,0,0
1682114459.5022497,37.87541,-122.25898,5.0,0,0
1682114466.8807404,37.875394,-122.258958,4.0,0,0
1682114474.1946025,37.875386,-122.258961,4.0,0,0
1682114481.7711637,37.875366,-122.258966,4.0,0,0
1682114489.2542653,37.875365,-122.258978,3.0,0,0
1682114496.7340665,37.875371,-122.258976,4.0,0,0
1682114504.152285,37.875376,-122.258981,3.5,0,0
1682114511.5589948,37.875381,-122.258956,3.5,0,0
1682114519.2912583,37.875405,-122.258951,4.0,0,0
1682114526.671679,37.875403,-122.258936,4.0,0,0
1682114534.1266856,37.875418,-122.258931,3.5,0,0
1682114541.6859267,37.875451,-122.258959,4.0,0,0
1682114549.2174149,37.875446,-122.258968,3.0,0,0
1682114556.672619,37.87542,-122.258863,3.0,0,0
1682114564.3538697,37.875421,-122.258859,3.0,0,0
1682114571.8349142,37.875413,-122.258915,3.5,0,0
1682114579.3121507,37.875398,-122.258955,4.0,0,0
1682114586.8512654,37.875418,-122.258925,3.0,0,0
1682114594.4058807,37.87542,-122.258911,3.0,0,0
1682114602.3356109,37.875406,-122.258908,3.5,0,0
1682114609.91389,37.875396,-122.258926,4.0,0,0
1682114617.5338068,37.875378,-122.258919,3.0,0,0
1682114625.088892,37.8754,-122.258893,3.0,0,0
1682114632.5763915,37.875429,-122.258923,5.0,0,0
1682114640.4513378,37.8754,-122.258961,4.0,0,0
1682114648.023042,37.8754,-122.258961,4.0,0,0
1682114655.788697,37.8754,-122.258961,3.0,0,0
1682114663.498019,37.8754,-122.258961,4.0,0,0
1682114671.1302884,37.8754,-122.258961,4.0,0,0
1682114679.097554,37.8754,-122.258961,4.0,0,0
1682114686.8351128,37.8754,-122.258961,4.5,0,0
1682114694.4841578,37.8754,-122.258961,4.0,0,0
1682114702.2097042,37.8754,-122.258961,4.5,0,0
1682114709.8947494,37.8754,-122.258961,4.0,0,0
1682115399.056512,37.8754,-122.258961,4.0,0,0
1682115406.8327074,37.8754,-122.258961,3.5,0,0
1682115414.5807354,37.8754,-122.258961,3.0,0,0
1682115422.3762944,37.8754,-122.258961,4.0,0,0
