Longitude,Latitude
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-122.257513,37.870026
-122.257475,37.870011
-122.257411,37.869983
-122.257285,37.869971
-122.257181,37.86998
-122.257161,37.870015
-122.257161,37.870056
-122.25718,37.870073
-122.25715,37.870033
-122.257116,37.869965
-122.257121,37.86993
-122.257111,37.869946
-122.257118,37.87006
-122.257164,37.870116
-122.257206,37.87017
-122.257226,37.870221
-122.257251,37.870255
-122.257281,37.870296
-122.257285,37.870353
-122.257286,37.870426
-122.257278,37.870483
-122.257238,37.870571
-122.257305,37.870641
-122.2574,37.87076
-122.25744,37.870805
-122.257446,37.870855
-122.257565,37.870925
-122.257595,37.87098
-122.25761,37.871024
-122.257701,37.871063
-122.257745,37.871083
-122.257764,37.871153
-122.257818,37.871209
-122.257881,37.871465
-122.257851,37.871525
-122.257808,37.871571
-122.257761,37.871618
-122.257733,37.87169
-122.25772,37.871781
-122.257635,37.871816
-122.25756,37.871863
-122.257551,37.8719
-122.257515,37.871969
-122.257536,37.87204
-122.257641,37.872055
-122.257724,37.872078
-122.257771,37.872138
-122.257758,37.872235
-122.257796,37.872315
-122.257818,37.872388
-122.257823,37.872456
-122.257805,37.872533
-122.257831,37.872676
-122.257828,37.872753
-122.257841,37.872831
-122.257881,37.87291
-122.257931,37.872978
-122.257973,37.873046
-122.257994,37.873111
-122.257994,37.873186
-122.258048,37.873323
-122.258098,37.873366
-122.258125,37.873413
-122.25811,37.873451
-122.258104,37.873471
-122.258213,37.87343
-122.258256,37.873398
-122.258233,37.873373
-122.258416,37.873405
-122.258471,37.873463
-122.258498,37.873523
-122.258466,37.873585
-122.258371,37.873691
-122.258283,37.873776
-122.258173,37.873791
-122.25811,37.873828
-122.258029,37.873816
-122.258023,37.873783
-122.25806,37.873796
-122.258028,37.873816
-122.258031,37.87383
-122.258043,37.87384
-122.258061,37.873813
-122.258198,37.87374
-122.258196,37.873735
-122.258224,37.873695
-122.25824,37.87379
-122.258201,37.873785
-122.258211,37.873761
-122.258166,37.873728
-122.258113,37.873718
-122.258103,37.873706
-122.258093,37.873711
-122.258081,37.873725
-122.258093,37.87374
-122.258091,37.873758
-122.258073,37.873765
-122.258069,37.873806
-122.258069,37.873821
-122.258063,37.873826
-122.258061,37.873878
-122.258068,37.873911
-122.258065,37.873918
-122.258131,37.873865
-122.258181,37.873849
-122.258113,37.873871
-122.258116,37.873886
-122.25809,37.873885
-122.258079,37.873851
-122.258078,37.873791
-122.258081,37.873845
-122.258081,37.873868
-122.258063,37.873898
-122.258056,37.873875
-122.258076,37.87391
-122.258126,37.874011
-122.258143,37.87406
-122.258153,37.87408
-122.258168,37.874091
-122.258193,37.874068
-122.25818,37.874018
-122.25818,37.873976
-122.258161,37.87397
-122.25816,37.873965
-122.258138,37.873945
-122.258136,37.873923
-122.258141,37.873898
-122.258091,37.873976
-122.25812,37.873948
-122.258218,37.873913
-122.258295,37.873913
-122.258365,37.873923
-122.258455,37.87392
-122.258546,37.873935
-122.258575,37.87392
-122.258585,37.873923
-122.258566,37.873935
-122.258556,37.873938
-122.258561,37.873918
-122.258575,37.873916
-122.258571,37.873906
-122.25859,37.873893
-122.258588,37.873885
-122.258581,37.87389
-122.258579,37.873905
-122.258561,37.873903
-122.258551,37.873906
-122.258551,37.8739
-122.25855,37.87389
-122.258558,37.873878
-122.258565,37.873886
-122.258588,37.873875
-122.258616,37.873905
-122.258633,37.873918
-122.258635,37.873915
-122.258645,37.873916
-122.258636,37.873918
-122.258656,37.873925
-122.258716,37.873906
-122.258746,37.873886
-122.258756,37.873876
-122.258749,37.873878
-122.258761,37.873888
-122.258763,37.873891
-122.258755,37.8739
-122.258723,37.873903
-122.258718,37.873906
-122.258696,37.873901
-122.258696,37.8739
-122.258685,37.873906
-122.25866,37.873918
-122.258631,37.873931
-122.258631,37.873935
-122.25862,37.873939
-122.258623,37.873945
-122.258628,37.873945
-122.258621,37.873939
-122.258628,37.873938
-122.258621,37.873941
-122.258603,37.873953
-122.258591,37.873966
-122.2586,37.873965
-122.258608,37.873961
-122.25862,37.873956
-122.258625,37.873938
-122.258636,37.87393
-122.258661,37.873923
-122.258663,37.87392
-122.258668,37.87392
-122.258666,37.873939
-122.258658,37.873948
-122.258658,37.873956
-122.258653,37.873958
-122.258646,37.873958
-122.258648,37.873958
-122.258646,37.873948
-122.258646,37.873948
-122.258646,37.87395
-122.258645,37.873943
-122.258643,37.873945
-122.258648,37.873943
-122.258661,37.873939
-122.258676,37.873941
-122.258683,37.873936
-122.258689,37.87393
-122.258706,37.873926
-122.258714,37.873941
-122.258696,37.873951
-122.258688,37.873958
-122.258691,37.873951
-122.2587,37.873948
-122.258686,37.873955
-122.258685,37.873955
-122.258676,37.873953
-122.258675,37.873956
-122.258668,37.873958
-122.258656,37.87396
-122.258656,37.873953
-122.25866,37.873951
-122.258621,37.873958
-122.258608,37.87396
-122.258621,37.87395
-122.258626,37.873948
-122.258651,37.873945
-122.258663,37.873935
-122.258648,37.873941
-122.258653,37.873936
-122.258658,37.873926
-122.258671,37.873921
-122.258678,37.873903
-122.258679,37.8739
-122.258666,37.8739
-122.258678,37.873891
-122.258686,37.873891
-122.258606,37.873931
-122.258553,37.87395
-122.258343,37.873951
-122.258265,37.873938
-122.258155,37.873951
-122.258063,37.873955
-122.257893,37.874046
-122.25785,37.874083
-122.257798,37.874121
-122.257793,37.874245
-122.257803,37.874315
-122.25783,37.8744
-122.25782,37.874465
-122.257858,37.874581
-122.257876,37.874585
-122.25789,37.874586
-122.257896,37.874563
-122.257978,37.874478
-122.257958,37.874413
-122.257883,37.874336
-122.257871,37.87428
-122.257876,37.874156
-122.257878,37.87408
-122.257881,37.874023
-122.258033,37.873995
-122.258128,37.873985
-122.258216,37.873936
-122.258301,37.873905
-122.25847,37.87392
-122.258521,37.873926
-122.258553,37.873913
-122.258566,37.873901
-122.25865,37.873856
-122.258653,37.873773
-122.258651,37.873715
-122.258685,37.873676
-122.25872,37.873545
-122.258751,37.873483
-122.258785,37.873428
-122.258848,37.873321
-122.25887,37.873256
-122.258909,37.873185
-122.258934,37.873121
-122.25905,37.87301
-122.259118,37.872968
-122.259188,37.872904
-122.259268,37.872768
-122.25932,37.872713
-122.259386,37.872666
-122.259488,37.872648
-122.259613,37.872625
-122.259688,37.872638
-122.259738,37.872646
-122.259861,37.872696
-122.259965,37.87271
-122.26005,37.872741
-122.260128,37.872728
-122.260288,37.87266
-122.260343,37.872631
-122.260421,37.872598
-122.260448,37.872575
-122.260433,37.872591
-122.260343,37.872613
-122.260243,37.872686
-122.260206,37.872765
-122.260168,37.872828
-122.260113,37.872888
-122.260056,37.873016
-122.26004,37.873078
-122.260016,37.873161
-122.259986,37.873276
-122.259938,37.873341
-122.259888,37.87341
-122.259888,37.873525
-122.259876,37.873581
-122.259876,37.873668
-122.259908,37.87373
-122.26003,37.873885
-122.26004,37.873971
-122.260076,37.874063
-122.260133,37.874209
-122.260195,37.874268
-122.260136,37.87439
-122.260151,37.874575
-122.260131,37.874673
-122.26016,37.874746
-122.260183,37.874886
-122.260185,37.874963
-122.260188,37.875026
-122.260233,37.875093
-122.260258,37.875159
-122.260265,37.875225
-122.260245,37.875375
-122.260303,37.875403
-122.260228,37.875438
-122.260201,37.875466
-122.26045,37.87554
-122.260488,37.875525
-122.260488,37.875525
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260356,37.875468
-122.260483,37.87529
-122.26029,37.875076
-122.260321,37.875108
-122.26041,37.87531
-122.260411,37.875386
-122.260411,37.875386
-122.26059,37.875526
-122.260708,37.87552
-122.260708,37.87552
-122.260708,37.87552
-122.260558,37.875501
-122.260596,37.875475
-122.260613,37.875429
-122.2606,37.875418
-122.260606,37.875401
-122.260548,37.875398
-122.260538,37.875396
-122.260516,37.875405
-122.26061,37.875538
-122.26061,37.875538
-122.26061,37.875538
-122.260066,37.875646
-122.260223,37.875479
-122.260175,37.875365
-122.260181,37.875283
-122.260151,37.875186
-122.260136,37.87504
-122.26008,37.875071
-122.260006,37.875101
-122.25984,37.875136
-122.259731,37.875151
-122.259621,37.875203
-122.259471,37.875303
-122.259356,37.875323
-122.259171,37.875315
-122.259076,37.875316
-122.258969,37.875333
-122.258749,37.875323
-122.258638,37.875341
-122.258606,37.875301
-122.258465,37.875191
-122.258435,37.875159
-122.258453,37.87514
-122.258681,37.87503
-122.258786,37.875016
-122.258825,37.874985
-122.25895,37.8749
-122.258956,37.874811
-122.258846,37.874634
-122.258831,37.874611
-122.258835,37.874516
-122.25876,37.874331
-122.258775,37.874315
-122.258763,37.874238
-122.258748,37.874088
-122.258693,37.874021
-122.258558,37.87392
-122.258436,37.873891
-122.258365,37.873893
-122.258336,37.873888
-122.258318,37.873881
-122.258276,37.873845
-122.258285,37.873799
-122.258165,37.87374
-122.258034,37.873613
-122.258018,37.873543
-122.258025,37.873503
-122.258101,37.873275
-122.258153,37.873213
-122.258188,37.873178
-122.25821,37.87315
-122.258276,37.873139
-122.258443,37.873066
-122.2585,37.873065
-122.258535,37.873048
-122.258571,37.873068
-122.258626,37.873033
-122.25873,37.872885
-122.258693,37.872826
-122.258693,37.872761
-122.258685,37.872655
-122.258638,37.872615
-122.258575,37.872445
-122.258518,37.872365
-122.258483,37.87227
-122.258428,37.872136
-122.258436,37.8721
-122.25838,37.872018
-122.258363,37.871948
-122.258326,37.871901
-122.258308,37.871761
-122.258303,37.871701
-122.258286,37.871573
-122.258296,37.871476
-122.258338,37.871425
-122.258311,37.871283
-122.258349,37.871211
-122.258475,37.871124
-122.258573,37.871051
-122.258518,37.870968
-122.258426,37.870948
-122.258384,37.870915
-122.258486,37.87076
-122.258476,37.870688
-122.258308,37.870528
-122.258186,37.870458
-122.258138,37.87038
-122.25789,37.870208
-122.258028,37.870248
-122.258113,37.870266
-122.258098,37.870306
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258113,37.870301
-122.258996,37.873108
-122.259113,37.87344
-122.259263,37.873506
-122.259383,37.873585
-122.259403,37.87361
-122.259451,37.873621
-122.259625,37.873665
-122.259653,37.873726
-122.259663,37.873806
-122.259671,37.873805
-122.259638,37.873808
-122.259579,37.873795
-122.259565,37.873811
-122.259413,37.873749
-122.259334,37.873705
-122.2592,37.873643
-122.259161,37.873618
-122.25907,37.87352
-122.258994,37.8734
-122.258841,37.873323
-122.258795,37.873253
-122.258755,37.873106
-122.258705,37.872945
-122.258666,37.872808
-122.25866,37.872751
-122.258626,37.872618
-122.258551,37.872479
-122.258535,37.872338
-122.258528,37.872276
-122.258493,37.872143
-122.258406,37.872003
-122.258366,37.87188
-122.258358,37.871821
-122.258316,37.871698
-122.258249,37.871578
-122.258173,37.871431
-122.258168,37.871361
-122.258091,37.871271
-122.25799,37.871245
-122.257925,37.871205
-122.257875,37.871083
-122.257809,37.871028
-122.257758,37.870935
-122.257733,37.87078
-122.257668,37.870631
-122.257648,37.870568
-122.257635,37.870438
-122.257561,37.870288
-122.257598,37.870206
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
-122.257606,37.870168
